Sp1	Sp2	obs.C-score	exp.C-score	Zscore	pval_less	pval_greater
Aphrygiatus	Aquadriscutis	0.553330228225431	0.165288775034932	12.9248676215619	1	9.99900009999e-05
Aphrygiatus	Arugispinis	0.60074508560558	0.216867469879518	7.75641134351779	1	9.99900009999e-05
Aphrygiatus	Bbagre	0.586918541166193	0.11596418431972	16.1578012438156	1	9.99900009999e-05
Aphrygiatus	Cspixii	0.599358974358974	0.125	15.7034924297565	1	9.99900009999e-05
Aphrygiatus	Ngrandicassis	0.690126050420168	0.12577399380805	19.2637599226289	1	9.99900009999e-05
Aphrygiatus	Scouma	0.245779543197617	0.759682224428997	-4.95644217182639	9.99900009999e-05	1
Aphrygiatus	Sparkeri	0.716034271725826	0.2093788249694	11.1014855353996	1	9.99900009999e-05
Aphrygiatus	Sproops	0.801777170198223	0.584757347915243	4.29813793613571	1	9.99900009999e-05
Aquadriscutis	Arugispinis	0.0276148843160252	0.0956658492376586	-4.63002804904418	9.99900009999e-05	1
Aquadriscutis	Bbagre	0.0305878896926523	0.0535012668453714	-2.97463040884006	0.0006999300069993	0.999800019998
Aquadriscutis	Cspixii	0.0270024960290447	0.0548370017396566	-3.72698986944034	0.0001999800019998	1
Aquadriscutis	Ngrandicassis	0.0247824793634268	0.0576336729382018	-3.86052102902627	9.99900009999e-05	1
Aquadriscutis	Scouma	0.269661045249624	0.252462848555685	2.60189565420666	0.995200479952005	0.0122987701229877
Aquadriscutis	Sparkeri	0.0356812101255402	0.0769705700761474	-3.92283586971918	9.99900009999e-05	1
Aquadriscutis	Sproops	0.0627514078841512	0.13113435237329	-2.47698475818483	0.0053994600539946	0.998600139986001
Arugispinis	Bbagre	0.0285957106434035	0.0563415487676848	-3.83229616069084	9.99900009999e-05	1
Arugispinis	Cspixii	0.0453094428998043	0.0756873648439914	-2.81845016912074	0.0014998500149985	0.999300069993001
Arugispinis	Ngrandicassis	0.0279690189328744	0.0676571833552698	-3.96064092693706	9.99900009999e-05	1
Arugispinis	Scouma	0.507388042736986	0.337576721982269	3.53789802316534	0.999700029997	0.0010998900109989
Arugispinis	Sparkeri	0.0529560100868591	0.191475203138134	-4.95298306489849	9.99900009999e-05	1
Arugispinis	Sproops	0.103739633860116	0.291034266937881	-4.07916695611505	9.99900009999e-05	1
Bbagre	Cspixii	0.018512607724226	0.0524523885519736	-4.49292897076598	9.99900009999e-05	1
Bbagre	Ngrandicassis	0.0172600160396109	0.0329509397119844	-4.60409483024378	9.99900009999e-05	1
Bbagre	Scouma	0.65176544273076	0.122758944648869	13.3231856877847	1	9.99900009999e-05
Bbagre	Sparkeri	0.0148605616134324	0.0747852938338319	-4.98665195468548	9.99900009999e-05	1
Bbagre	Sproops	0.045535377485585	0.123996335614593	-2.39092148881741	0.0060993900609939	0.998500149985001
Cspixii	Ngrandicassis	0.0171837965955613	0.0466314731020613	-4.79047984502524	9.99900009999e-05	1
Cspixii	Scouma	0.609579100145138	0.137880986937591	11.3614782925286	1	9.99900009999e-05
Cspixii	Sparkeri	0.0242248062015504	0.0810971973762671	-4.55536436169904	9.99900009999e-05	1
Cspixii	Sproops	0.0926850926850927	0.0732600732600733	-1.11155356450844	0.170582941705829	0.905509449055094
Ngrandicassis	Scouma	0.610432852386238	0.106548279689234	11.7283579448325	1	9.99900009999e-05
Ngrandicassis	Sparkeri	0.0228649599374634	0.0897009966777409	-4.4367941051303	9.99900009999e-05	1
Ngrandicassis	Sproops	0.0177889337553203	0.133689839572193	-3.44170102333679	9.99900009999e-05	1
Scouma	Sparkeri	0.786748573935937	0.304958315050461	9.21359030759739	1	9.99900009999e-05
Scouma	Sproops	0.760842930654251	0.506003430531732	2.24584787051114	0.992700729927007	0.0226977302269773
Sparkeri	Sproops	0.124584717607973	0.237541528239203	-3.30319364050631	0.0001999800019998	1
