	Sp1	Sp2	NullModel	coor.test	pillai.coor.test	env.test	r.env.test	Dist.test	r.Dist.test	season.test	dry.season.test	wet.season.test
1	Aphrygiatus	Aquadriscutis	SEGR	1.07E-19	0.30196671	9.51E-28	0.387035376	1.43E-39	0.509095085	0.432851886	0.317073171	0.402439024
2	Aphrygiatus	Arugispinis	SEGR	4.36E-22	0.399316853	1.40E-40	0.601132107	3.44E-59	0.743294921	0.707623858	0.661538462	0.742424242
3	Aphrygiatus	Bbagre	SEGR	3.57E-23	0.326023214	1.40E-32	0.416182963	7.85E-38	0.467232127	0.901012683	0.255813953	0.23655914
4	Aphrygiatus	Cspixii	SEGR	7.92E-24	0.338968593	1.13E-32	0.423188303	1.22E-40	0.499329606	0.241179238	0.309090909	0.210526316
5	Aphrygiatus	Ngrandicassis	SEGR	4.51E-26	0.347897803	1.05E-32	0.404661742	3.60E-36	0.438168081	0.418497857	0.220338983	0.161616162
6	Aphrygiatus	Sparkeri	SEGR	2.22E-25	0.413177273	8.97E-44	0.594065582	8.26E-66	0.747086402	0.402296669	0.576642336	0.455696203
7	Aphrygiatus	Sproops	SEGR	2.01E-14	0.375426557	4.97E-34	0.666901611	1.56E-29	0.611920414	0.001121251	1.88	0.85483871
8	Aquadriscutis	Sparkeri	AGGR	0.067058157	0.022639744	0.016033771	0.024222441	7.38E-107	0.869691773	0.525527986	2.428571429	2.965517241
9	Arugispinis	Cspixii	AGGR	2.77E-05	0.090976858	4.18E-06	0.091583413	2.01E-97	0.863186387	0.463531102	2.223880597	1.804878049
10	Arugispinis	Scouma	SEGR	1.10E-17	0.364945755	3.97E-29	0.516817939	1.65E-45	0.687091384	0.054917475	0.756097561	1.211538462
11	Bbagre	Scouma	SEGR	2.75E-17	0.2550587	3.63E-22	0.303127515	1.50E-19	0.270388309	0.316174019	0.234285714	0.32183908
12	Cspixii	Scouma	SEGR	3.16E-17	0.26389746	7.82E-22	0.309967283	5.32E-20	0.286395724	0.317729603	0.285714286	0.385542169
13	Ngrandicassis	Scouma	SEGR	8.61E-19	0.281169295	4.59E-22	0.308788159	3.93E-18	0.258007471	0.395592366	0.270588235	0.352941176
14	Scouma	Sparkeri	SEGR	1.49E-21	0.375076167	9.61E-31	0.477790541	1.12E-51	0.673151176	0.564094067	0.565217391	0.666666667
15	Scouma	Sproops	SEGR	1.67E-15	0.458340542	4.03E-29	0.675261775	1.93E-25	0.622487981	0.64565369	2	1.738095238
