"Sp1"	"Sp2"	"Cscore"	"bin"	"obs.C.score"	"exp.C.score"	"Zscore"	"pval_less"	"pval_greater"
"1"	"Aphrygiatus"	"Aquadriscutis"	0.553330228225431	"13"	0.553330228225431	0.165288775034932	12.9248676215619	1	9.99900009999e-05
"2"	"Aphrygiatus"	"Arugispinis"	0.60074508560558	"14"	0.60074508560558	0.216867469879518	7.75641134351779	1	9.99900009999e-05
"3"	"Aphrygiatus"	"Bbagre"	0.586918541166193	"13"	0.586918541166193	0.11596418431972	16.1578012438156	1	9.99900009999e-05
"4"	"Aphrygiatus"	"Cspixii"	0.599358974358974	"14"	0.599358974358974	0.125	15.7034924297565	1	9.99900009999e-05
"5"	"Aphrygiatus"	"Ngrandicassis"	0.690126050420168	"16"	0.690126050420168	0.12577399380805	19.2637599226289	1	9.99900009999e-05
"6"	"Aphrygiatus"	"Sparkeri"	0.716034271725826	"16"	0.716034271725826	0.2093788249694	11.1014855353996	1	9.99900009999e-05
"7"	"Aphrygiatus"	"Sproops"	0.801777170198223	"18"	0.801777170198223	0.584757347915243	4.29813793613571	1	9.99900009999e-05
"8"	"Aquadriscutis"	"Sparkeri"	0.0356812101255402	"1"	0.0356812101255402	0.0769705700761474	-3.92283586971918	9.99900009999e-05	1
"9"	"Arugispinis"	"Cspixii"	0.0453094428998043	"1"	0.0453094428998043	0.0756873648439914	-2.81845016912074	0.0014998500149985	0.999300069993001
"10"	"Arugispinis"	"Scouma"	0.507388042736986	"12"	0.507388042736986	0.337576721982269	3.53789802316534	0.999700029997	0.0010998900109989
"11"	"Bbagre"	"Scouma"	0.65176544273076	"15"	0.65176544273076	0.122758944648869	13.3231856877847	1	9.99900009999e-05
"12"	"Cspixii"	"Scouma"	0.609579100145138	"14"	0.609579100145138	0.137880986937591	11.3614782925286	1	9.99900009999e-05
"13"	"Ngrandicassis"	"Scouma"	0.610432852386238	"14"	0.610432852386238	0.106548279689234	11.7283579448325	1	9.99900009999e-05
"14"	"Scouma"	"Sparkeri"	0.786748573935937	"18"	0.786748573935937	0.304958315050461	9.21359030759739	1	9.99900009999e-05
"15"	"Scouma"	"Sproops"	0.760842930654251	"17"	0.760842930654251	0.506003430531732	2.24584787051114	0.992700729927007	0.0226977302269773
