"Sp1"	"Sp2"	"NullModel"	"coor.test"	"pillai.coor.test"	"env.test"	"r.env.test"	"Dist.test"	"r.Dist.test"	"season.test"	"dry.season.test"	"wet.season.test"
"1"	"Aphrygiatus"	"Aquadriscutis"	"SEGR"	1.07386687308533e-19	0.301966709616115	9.51244658233649e-28	0.387035375873031	1.42690473672981e-39	0.509095085130047	0.432851885704979	0.317073170731707	0.402439024390244
"2"	"Aphrygiatus"	"Arugispinis"	"SEGR"	4.35798421075714e-22	0.399316853287503	1.40267524772733e-40	0.601132106732051	3.43779358139193e-59	0.743294920852345	0.707623857551533	0.661538461538462	0.742424242424242
"3"	"Aphrygiatus"	"Bbagre"	"SEGR"	3.56850960124804e-23	0.326023214484394	1.39647176296902e-32	0.416182963259802	7.84665456641042e-38	0.467232126747374	0.901012682873423	0.255813953488372	0.236559139784946
"4"	"Aphrygiatus"	"Cspixii"	"SEGR"	7.91660733724514e-24	0.33896859304027	1.13132712091107e-32	0.423188303439185	1.22194915796365e-40	0.499329605858308	0.241179237756835	0.309090909090909	0.210526315789474
"5"	"Aphrygiatus"	"Ngrandicassis"	"SEGR"	4.50908110689678e-26	0.347897803065246	1.04586800372499e-32	0.404661741709404	3.59692405392858e-36	0.438168081005681	0.41849785708083	0.220338983050847	0.161616161616162
"6"	"Aphrygiatus"	"Sparkeri"	"SEGR"	2.21813263442836e-25	0.413177273344871	8.96858567750366e-44	0.59406558229488	8.25820510039694e-66	0.747086401763626	0.402296669305772	0.576642335766423	0.455696202531646
"7"	"Aphrygiatus"	"Sproops"	"SEGR"	2.01416690474055e-14	0.375426556605818	4.9660899773822e-34	0.666901610958664	1.55878880980992e-29	0.611920414173585	0.00112125091987106	1.88	0.854838709677419
"8"	"Aquadriscutis"	"Sparkeri"	"AGGR"	0.0670581567851605	0.022639743880206	0.0160337707210869	0.0242224407458871	7.38441129720861e-107	0.869691772755944	0.525527986482219	2.42857142857143	2.96551724137931
"9"	"Arugispinis"	"Cspixii"	"AGGR"	2.7748746326734e-05	0.0909768579511907	4.18115590200042e-06	0.0915834126917822	2.00993110334408e-97	0.863186387052279	0.463531102420198	2.22388059701493	1.80487804878049
"10"	"Arugispinis"	"Scouma"	"SEGR"	1.10085682628784e-17	0.364945754533162	3.97113454709095e-29	0.516817939497511	1.64541241188856e-45	0.687091384050335	0.0549174751480608	0.75609756097561	1.21153846153846
"11"	"Bbagre"	"Scouma"	"SEGR"	2.75299735382079e-17	0.255058700050945	3.62596125567625e-22	0.303127514648721	1.49833767528966e-19	0.270388309310965	0.3161740194221	0.234285714285714	0.32183908045977
"12"	"Cspixii"	"Scouma"	"SEGR"	3.16483611957075e-17	0.263897459951035	7.82080189232062e-22	0.309967282970642	5.32307799157778e-20	0.286395723605542	0.317729602765952	0.285714285714286	0.385542168674699
"13"	"Ngrandicassis"	"Scouma"	"SEGR"	8.60902746534861e-19	0.281169295036316	4.59409975736033e-22	0.308788159348273	3.93466070527051e-18	0.258007471371285	0.395592365506339	0.270588235294118	0.352941176470588
"14"	"Scouma"	"Sparkeri"	"SEGR"	1.49404261497219e-21	0.375076166678559	9.61028019415562e-31	0.477790541275468	1.12466801091132e-51	0.673151175866167	0.564094067187165	0.565217391304348	0.666666666666667
"15"	"Scouma"	"Sproops"	"SEGR"	1.6665231446449e-15	0.458340542262322	4.03351031052167e-29	0.675261774884058	1.92814189908995e-25	0.622487981383092	0.645653690263101	2	1.73809523809524
